web-scraper-order,web-scraper-start-url,Paginacja,Tytuł,Teksty
"1688744328-1","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","","Beatles Song Lyrics",""
"1688744331-2","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-youve-got-to-hide-your-love-away.htm","""You've Got To Hide Your Love Away""","Here I stand head in hand 

        Turn my face to the wall 

        If she's gone I can't go on 

        Feeling two foot small 

        Everywhere people stare 

        each and every day 

        I can see them laugh at me 

        And I hear them say"
"1688744334-3","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-youre-going-to-lose-that-girl.htm","""You're Going To Lose That Girl""","You're going to lose that girl 

        You're going to lose that girl 

        If you don't take her out tonight 

        she's going to change her mind 

        And I will take her out tonight 

        And I will treat her kind"
"1688744337-4","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-your-mother-should-know.htm","""Your Mother Should Know""","Let's all get up and dance to a song 

        that was a hit before your mother was born 

        Though she was born a long, long time ago 

        Your mother should know 

        Your mother should know"
"1688744340-5","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-young-blood.htm","""Young Blood""","Lyrics go here"
"1688744346-6","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-you-wont-see-me.htm","""You Won't See Me""","When I call you up 

        Your line's engaged 

        I have had enough 

        So act your age 

        We have lost the time 

        that was so hard to find 

        And I will lose my mind 

        If you won't see me 

        you won't see me"
"1688744349-7","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-you-really-got-a-hold-on-me.htm","""You Really Got A Hold On Me""","I don't like you 

        But I love you 

        See that I'm always 

        thinking of you 

        Oh, oh, oh, 

        you treat me badly 

        I love you madly 

        You really got a hold on me 

        You really got a hold on me, baby"
"1688744352-8","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-you-never-give-me-your-money.htm","""You Never Give Me Your Money""","You never give me your money 

        you only give me you funny paper 

        And in the middle of negotiation you break down"
"1688744355-9","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-you-like-me-too-much.htm","""You Like Me Too Much""","Though you're gone away this morning 

        you'll be back again tonight 

        telling me there'll be no next time 

        if I just don't treat you right 

        You'll never leave me and you know it's true 

        'Cause you like me too much and I like you"
"1688744361-10","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-you-know-my-name-look-up-the-number.htm","""You Know My Name (Look Up The Number)""","You know my name, look up the number 

        You know my name, look up the number 

        You, you know, you know my name 

        You, you know, you know my name"
"1688744364-11","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-you-cant-do-that.htm","""You Can't Do That""","I got something to say that might cause you pain 

        If I catch you talking to that boy again 

        I'm gonna let you down 

        and leave you flat 

        Because I told you before 

        oh, you can't do that"
"1688744367-12","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-yesterday.htm","""Yesterday""","Yesterday, all my troubles seemed so far away 

        Now it look as though they're here to stay 

        Oh, I believe in yesterday"
"1688744370-13","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-yes-it-is.htm","""Yes It Is""","If you wear red tonight 

        Remember what I said tonight 

        For red is color that my baby wore 

        and what's more it's true 

        Yes it is"
"1688744373-14","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-yer-blues.htm","""Yer Blues""","Yes I'm lonely wanna die 

        Yes I'm lonely wanna die 

        If I ain't dead already 

        Ooh, girl you know the reason why"
"1688744376-15","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-yellow-submarine-in-pepperland.htm","""Yellow Submarine In Pepperland""","Lyrics go here"
"1688744379-16","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-yellow-submarine.htm","""Yellow Submarine""","In the town where I was born 

        Lived a man who sailed to sea 

        And he told us of his life 

        In the land of submarines 

        So we sailed up to the sun 

        Till we found a sea of green 

        And we lived beneath the waves 

        in our yellow submarine"
"1688744382-17","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-words-of-love.htm","""Words Of Love""","Hold me close and tell me how you feel 

        Tell me love is real"
"1688744385-18","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-within-you-without-you.htm","""Within You Without You""","We were talking 

        about the space between us all 

        and people who hide themselves 

        behind a wall of illusion 

        never glimpse the truth 

        then it's far too late 

        when they pass away"
"1688744388-19","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-with-a-little-help-from-my-friends.htm","""With A Little Help From My Friends""","What would you think if I sang out of tune 

        Would you stand up and walk out on me 

        Lend me your ears and I'll sing you a song 

        And I'll try not o sing out of key"
"1688744391-20","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-wild-honey-pie.htm","""Wild Honey Pie""","Honey pie, honey pie 

        Honey pie, honey pie 

        Honey pie, honey pie 

        Honey pie, honey pie 

        I love you honey pie"
"1688744394-21","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-why-dont-we-do-it-in-the-road.htm","""Why Don't We Do It In The Road?""","Why don't we do it in the road 

        Why don't we do it in the road 

        Why don't we do it in the road 

        Why don't we do it in the road 

        No one will be watching us 

        Why don't we do it in the road 

        Why don't we do it in the road 

        Why don't we do it in the road 

        Why don't we do it in the road 

        Why don't we do it in the road 

        No one will be watching us 

        Why don't we do it in the road 

        Why don't we do it in the road 

        Why don't we do it in the road 

        Why don't we do it in the road 

        Why don't we do it in the road 

        No one will be watching us 

        Why don't we do it in the road"
"1688744397-22","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-while-my-guitar-gently-weeps.htm","""While My Guitar Gently Weeps""","I look at you all see the love there that's sleeping 

        While my guitar gently weeps 

        I look at the floor and I see it need sweeping 

        Still my guitar gently weeps"
"1688744400-23","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-when-im-sixty-four.htm","""When I'm Sixty Four""","When I get older losing my hair 

        many years from now 

        will you still be sending me a valentine 

        birthday greeting, bottle of wine 

        If I'd been out till quarter to three 

        would you lock the door 

        Will you still need me 

        Will you still feed me 

        When I'm sixty-four"
"1688744406-24","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-what-youre-doing.htm","""What You're Doing""","Look, what you're doing 

        I'm feeling blue and lonely 

        Would it be too much to ask of you 

        what you're doing to me"
"1688744409-25","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-what-goes-on.htm","""What Goes On""","What goes on in your heart? 

        What goes on in your mind? 

        You are tearing me apart 

        When you treat me so unkind 

        What goes on in your mind"
"1688744412-26","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-we-can-work-it-out.htm","""We Can Work It Out""","Try to see it my way 

        Do I have to keep on talking till I can't go on 

        While you see it your way 

        Run the risk of knowing that or love may soon be gone 

        We can work it out 

        We can work it out"
"1688744415-27","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-wait.htm","""Wait""","It's been a long time 

        Now I'm coming back home 

        I've been away now 

        Oh how I've been alone 

        Wait till I come back to your side 

        We'll forget the tears we've cried"
