web-scraper-order,web-scraper-start-url,Paginacja,Tytuł,Teksty
"1688740294-1","https://www.songlyrics.com/one-direction-lyrics/","","One Direction Song Lyrics",""
"1688740297-2","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/of-my-life-live-from-san-siro-lyrics/","One Direction - of My Life (live from San Siro) / ストーリー・オブ・マイ・ライフ (ライブ・フロム・サンシーロ Lyrics","Written in these walls are the stories that I can't explain

I leave my heart open but it stays right here empty for days

She told me in the morning she don't feel the same about us in her bones

Seems to me that when I die these words will be written on my stone



And I'll be gone, gone tonight

The ground beneath my feet is open wide

The way that I been holding on too tight

With nothing in between



The story of my life

I take her home

I drive all night

To keep her warm

And time is frozen (the story of, the story of)

The story of my life

I give her hope

I spend her love

Until she's broke

Inside

The story of my life (the story of, the story of)



Written on these walls are the colors that I can't change

Leave my heart open but it stays right here in its cage

I know that in the morning now I see us in the light upon a hill

Although I am broken, my heart is untamed, still



And I'll be gone, gone tonight

The fire beneath my feet is burning bright

The way that I been holding on so tight

With nothing in between



The story of my life

I take her home

I drive all night

To keep her warm

And time is frozen (the story of, the story of)

The story of my life

I give her hope

I spend her love

Until she's broke

Inside

The story of my life (the story of, the story of)



And I been waiting for this time to come around

But baby running after you is like chasing the clouds



The story of my life

I take her home

I drive all night

To keep her warm

And time is frozen

The story of my life

I give her hope (give her hope)

I spend her love

Until she's broke (until she's broke inside)

Inside

The story of my life (the story of, the story of)



The story of my life

The story of my life (the story of, the story of)

The story of my life"
"1688740300-3","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/what-make-you-beautiful-lyrics/","One Direction - What Make You Beautiful Lyrics","You're insecure



Don't know what for



You're turning heads



When you walk through the do-o-or



Don't need make up



To cover up



Being the way that you are is en-o-ough



Everyone else in the room can see it



Everyone else but you



Baby you light up my world like nobody else



The way that you flip your hair gets me overwhelmed



But when you smile at the ground it ain't hard to tell



You don't know oh oh



You don't know you're beautiful



If only you saw what I can see



You'll understand why I want you so desperately



Right now I'm looking at you and I can't believe



You don't know oh oh



You don't know you're beautiful



Oh oh



That's what makes you beautiful



So c-come on



You got it wrong



To prove I'm right I put it in a so-o-ong



I don't know why



You're being shy



And turn away when I look into your ey-e-es.



Everyone else in the room can see it



Everyone else but you



Baby you light up my world like nobody else



The way that you flip your hair gets me overwhelmed



But when you smile at the ground it ain't hard to tell

You don't know oh oh

You don't know you're beautiful

If only you saw what I can see

You'll understand why I want you so desperately

Right now I'm looking at you and I can't believe

You don't know oh oh

You don't know you're beautiful

Oh oh

That's what makes you beautiful

Na na-na na na-na naaaa na na

Na na-na na na-na

Na na-na na na-na naaaa na na

Na na-na na na-na

Baby you light up my world like nobody else

The way that you flip your hair gets me overwhelmed

But when you smile at the ground it ain't hard to tell

You don't know oh oh

You don't know you're beautiful

Baby you light up my world like nobody else

The way that you flip your hair gets me overwhelmed

But when you smile at the ground it ain't hard to tell

You don't know oh oh

You don't know you're beautiful

If only you saw what I can see

You'll understand why I want you so desperately

Right now I'm looking at you and I can't believe

You don't know oh oh

You don't know you're beautiful

Oh oh oh

You don't know you're beautiful

Oh oh oh

That's what makes you beautiful"
"1688740303-4","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/magic-lyrics/","One Direction - Magic Lyrics",".B-b-b-baby c'mon over

I don't care if people find out



They say that we're no good together

And it's never gonna work out.

(Liam)

But baby you got me moving too fast

Cause I know you wanna be back

And girl when you're lookin' like that

I can't hold back.

(All)

Cause you, you've got this spell on me

I don't know what to believe

Kiss you once now I can't leave



Cause everything you do is magic

But everything you do is magic.

(Zayn)

So l-l-let them take pictures



Spread it all around the world now

I wanna put it on my record

I want everyone to know now.

(Liam)

But baby you got me moving too fast

Cause I know you wanna be back

And girl when you're lookin' like that

I can't hold back.

(All)



Cause you, you've got this spell on me

I don't know what to believe

Kiss you once know I can't leave



Cause everything you do is magic

But everything you do is magic.

Oh oh oh oh oh

Oh oh oh oh oh

Oh oh oh oh oh

Everything you do is magic.

(Niall)

They say that we're no good together

And this never gonna work out

I wanna put it on my record

I want everyone to know now.

(Louis)



Everything you do is magic

Everything you do is magic

Everything you do is magic

Everything you do is magic.

(All)

Cause you, you've got this spell on me

I don't know what to believe

Kiss you once know I can't leave

Cause everything you do is magic

But everything you do is magic.

Oh oh oh oh oh

Oh oh oh oh oh

C'mon

Kiss you once know I can't leave

Cause everything you do is magic

But everything you do is magic."
"1688740306-5","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/irresistible-lyrics/","One Direction - Irresistible Lyrics","Don't try to make me stay

Or ask if I'm okay

I don't have the answer

Don't make me stay the night

Or ask if I'm alright

I don't have the answer



Heartache doesn't last forever

I'll say I'm fine

Midnight ain't no time for laughing

When you say goodbye



It makes your lips so kissable

And your kiss unmissable

Your fingertips so touchable

And your eyes irresistible

I've tried to ask myself



Should I see someone else?

I wish I knew the answer

But I know, if I go now, if I leave

Then I'm on my own tonight

I'll never know the answer

Midnight doesn't last forever

Dark turns to light

Heartache flips my world around



I'm falling down, down, down

That's why

I find your lips so kissable

And your kiss unmissable

Your fingertips so touchable



And your eyes irresistible

Irresistible

Irresistible

Irresistible

Irresistible



It's in your lips and in your kiss

It's in your touch and your fingertips

And it's in all the things and other things

That make you who you are and your eyes irresistible

It makes your lips so kissable

And your kiss invincible

Your fingertips so touchable

And your eyes, your eyes, your eyes

Your eyes, your eyes, your eyes

Irresistible"
"1688740309-6","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/one-thing-live-lyrics/","One Direction - One Thing (Live) Lyrics","I've tried playin' it cool

But when I'm lookin' at you

I can't ever be brave

'Cause you make my heart race



Shot me out of the sky

You're my kryptonite

You keep makin' me weak

Yeah, frozen and can't breathe



Something’s gotta give now

'Cause I’m dyin' just to make you see

That I need you here with me now

'Cause you've got that one thing



So get out, get out, get out of my head

And fall into my arms instead

I don't, I don't, don't know what it is

But I need that one thing

And you've got that one thing



Now I'm climbin' the walls

But you don't notice at all (At all)

That I'm goin' out of my mind

All day and all night



Something’s gotta give now

'Cause I'm dyin' just to know your name

And I need you here with me now (Now)

'Cause you've got that one thing



So get out, get out, get out of my head

And fall into my arms instead

I don't, I don't, don't know what it is

But I need that one thing



So get out, get out, get out of my mind

And come on, come into my life

I don't, I don't, don't know what it is

But I need that one thing

And you've got that one thing



Ohh, ohh, ohh

You've got that one thing



Get out, get out, get out of my head

And fall into my arms instead



So get out, get out, get out of my head

And fall into my arms instead

I don't, I don't, don't know what it is

But I need that one thing



So get out, get out, get out of my mind (Out of my mind)

And come on, come into my life (Ohh)

I don't, I don't, don't know what it is

But I need that one thing (One thing)

And you've got that one thing"
"1688740312-7","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/kiss-you-live-version-from-the-motion-picture-one-direction-this-is-us-lyrics/","One Direction - Kiss You (live version from the motion picture ""One Direction: This Is Us"") Lyrics","And if you

You want me to

Lets make a move, yeah

So tell me girl if everytime we touch



You get this kinda rush

Baby say yeah a yeah a yeah, yeah a yeah

If you don't wanna take it slow

And you just wanna take me home

Baby say yeah a yeah a yeah, yeah a yeah

And let me kiss you



Oh baby, baby don't you know you got what I need

Lookin' so good from your head to your feet

C'mon come over here, over here

C'mon come over here, yeah



Oh I just wanna show you off to all of my friends

Makin' them drool down their chiney chin chins

Baby be mine tonight, mine tonight

Baby be mine tonight, yeah



And if you

You want me too



Lets make a move, yeah

So tell me girl if everytime we tou-ou-ouch



You get this kinda rush

Baby say yeah a yeah a yeah, yeah a yeah

If you don't wanna take it slow

And you just wanna take me home

Baby say yeah a yeah a yeah, yeah a yeah

And let me kiss you



Let me kiss you

Let me kiss you

Let me kiss you

Let me kiss you



Na na na na na na na na

Na na na na na na na na

Na na na na na na na na



So tell me girl if everytime we touch



You get this kinda rush

Baby say yeah a yeah a yeah, yeah a yeah

If you don't wanna take it slow

And you just wanna take me home

Baby say yeah a yeah a yeah, yeah a yeah

And let me kiss you



Everytime we to-ou-ouch

You get this kinda rush

Baby say yeah a yeah a yeah, yeah a yeah

If you don't wanna take it slow

And you just wanna take me home

Baby say yeah a yeah a yeah, yeah a yeah



And let me kiss you"
"1688740315-8","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/one-way-or-another-lyrics/","One Direction - One Way or Another Lyrics","One way or another I'm gonna find ya

I'm gonna getcha getcha getcha getcha

One way or another I'm gonna win ya

I'm gonna getcha getcha getcha getcha

One way or another I'm gonna see ya

I'm gonna meetcha meetcha meetcha meetcha

One day, maybe next week

I'm gonna meetcha, I'm gonna meetcha, I'll meetcha

I will drive past your house

And if the lights are all down

I'll see who's around

One way or another I'm gonna find ya

I'm gonna getcha getcha getcha getcha

One way or another I'm gonna win ya

I'll getcha, I'll getcha

One way or another I'm gonna see ya

I'm gonna metcha metcha metcha metcha

One day, maybe next week

I'm gonna metcha, I'll metcha

And if the lights are all out

I'll follow your bus downtown

See who's hanging out

One, two, three, four

Na Na Na Na Na Na Na

Na Na Na Na Na Na Na

Louis: I wanna hold you

Wanna hold you tight

I wanna hold you

wanna hold you tight.

I wanna hold you

wanna hold you tight

Yeah teenage kicks right

through the night.

I wanna hold you

Wanna hold you tight

I wanna hold you

wanna hold you tight.

I wanna hold you

wanna hold you tight

Yeah teenage kicks right

through the night.

One way or another I'm gonna see ya

I'm gonna metcha metcha metcha metcha

One way or another I'm gonna win ya

I'm gonna getcha getcha getcha getcha

One way or another I'm gonna see ya

I'm gonna metcha metcha metcha metcha

Louis

One way or another I'm gonna win ya

I'm gonna getcha getcha getcha getcha

One way or another I'm gonna see ya

I'm gonna meetcha meetcha meetcha meetcha

One way or another I'm gonna win ya

I'm gonna getcha getcha getcha getcha"
"1688740318-9","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/one-way-or-another-sharoque-remix-lyrics/","One Direction - One Way or Another (Sharoque remix) Lyrics","One way or another I’m gonna find ya

I’m gonna getcha getcha getcha getcha

One way or another I’m gonna win ya

I’m gonna getcha getcha getcha getcha

One way or another I’m gonna see ya

I’m gonna meetcha meetcha meetcha meetcha

One day, maybe next week

I’m gonna meetcha, I’m gonna meetcha, I’ll meetcha

I will drive past your house

And if the lights are all down

I’ll see who’s around



One way or another I’m gonna find ya

I’m gonna getcha getcha getcha getcha

One way or another I’m gonna win ya

I’ll getcha, I’ll getcha

One way or another I’m gonna see ya

I’m gonna metcha metcha metcha metcha

One day, maybe next week

I’m gonna metcha, I’ll metcha



And if the lights are all out

I’ll follow your bus downtown

See who’s hanging out



One, two, three, four



Na Na Na Na Na Na Na

Na Na Na Na Na Na Na



Louis: I wanna hold you

Wanna hold you tight,

I wanna hold you,

wanna hold you tight.

I wanna hold you,

wanna hold you tight

Yeah teenage kicks right

through the night.



I wanna hold you

Wanna hold you tight,

I wanna hold you,

wanna hold you tight.

I wanna hold you,

wanna hold you tight

Yeah teenage kicks right

through the night.



One way or another I’m gonna see ya

I’m gonna metcha metcha metcha metcha

One way or another I’m gonna win ya

I`m gonna getcha getcha getcha getcha

One way or another I’m gonna see ya

I’m gonna metcha metcha metcha metcha

Louis

One way or another I’m gonna win ya

I`m gonna getcha getcha getcha getcha

One way or another I’m gonna see ya

I’m gonna meetcha meetcha meetcha meetcha

One way or another I’m gonna win ya

I`m gonna getcha getcha getcha getcha



One way or another"
"1688740321-10","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/one-way-or-another-instrumental-lyrics/","One Direction - One Way or Another (instrumental) Lyrics","One way or another I’m gonna find ya

I’m gonna getcha getcha getcha getcha

One way or another I’m gonna win ya

I’m gonna getcha getcha getcha getcha

One way or another I’m gonna see ya

I’m gonna meetcha meetcha meetcha meetcha

One day, maybe next week

I’m gonna meetcha, I’m gonna meetcha, I’ll meetcha

I will drive past your house

And if the lights are all down

I’ll see who’s around



One way or another I’m gonna find ya

I’m gonna getcha getcha getcha getcha

One way or another I’m gonna win ya

I’ll getcha, I’ll getcha

One way or another I’m gonna see ya

I’m gonna metcha metcha metcha metcha

One day, maybe next week

I’m gonna metcha, I’ll metcha



And if the lights are all out

I’ll follow your bus downtown

See who’s hanging out



One, two, three, four



Na Na Na Na Na Na Na

Na Na Na Na Na Na Na



Louis: I wanna hold you

Wanna hold you tight,

I wanna hold you,

wanna hold you tight.

I wanna hold you,

wanna hold you tight

Yeah teenage kicks right

through the night.



I wanna hold you

Wanna hold you tight,

I wanna hold you,

wanna hold you tight.

I wanna hold you,

wanna hold you tight

Yeah teenage kicks right

through the night.



One way or another I’m gonna see ya

I’m gonna metcha metcha metcha metcha

One way or another I’m gonna win ya

I`m gonna getcha getcha getcha getcha

One way or another I’m gonna see ya

I’m gonna metcha metcha metcha metcha

Louis

One way or another I’m gonna win ya

I`m gonna getcha getcha getcha getcha

One way or another I’m gonna see ya

I’m gonna meetcha meetcha meetcha meetcha

One way or another I’m gonna win ya

I`m gonna getcha getcha getcha getcha



One way or another"
